Data,Cidade,Unidade Hospitalar,Total Leitos Adulto Clínico, Total Leitos Adulto Clínico Ocupados,Total Leitos Adulto Clínico Livre,Total Leitos Adulto UTI,Total Leitos Adulto UTI Ocupados,Total Leitos Adulto UTI Livre,Total Leitos Pediatrico Clinico,Total Leitos Pediatrico Clinico Ocupados,Total Leitos Pediatrico Clinico Livre,Total Leitos Pediatrico UTI,Total Leitos Pediatrico UTI Ocupados,Total Leitos Pediatrico UTI Livre
09/05/2020 07:53:47,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
09/05/2020 08:17:16,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,6,18,0,18,7,1,6,
09/05/2020 08:37:08,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
09/05/2020 09:24:38,Porto Velho,Hospital Santa Marcelina,20,18,2,0,0,0,0,0,0,0,0,0,
09/05/2020 09:28:39,Porto Velho,Hospital Santa Marcelina,0,3,0,0,0,0,0,0,0,0,0,0,
09/05/2020 10:14:44,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,2,0,0,0,0,0,0,0,0,
09/05/2020 10:39:10,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,50,50,0,3,3,2,0,0,0,2,0,2,
09/05/2020 10:42:12,Porto Velho,Hospital - João Paulo II,4,4,0,0,0,0,0,0,0,0,0,0,
09/05/2020 10:51:00,Cacoal,Hospital Regional de Cacoal - HRC,7,2,5,16,1,1,8,0,8,1,0,1,
09/05/2020 11:06:33,Buritis,Hospital Regional de Buritis - HRB,5,1,4,0,0,0,0,0,0,0,0,0,
09/05/2020 11:16:21,Porto Velho,Cemetron,67,52,29,17,9,0,0,0,0,0,0,0,
09/05/2020 12:11:01,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,25,0,0,0,0,0,0,0,
10/05/2020 09:03:34,Porto Velho,Hospital Santa Marcelina,20,16,4,0,0,0,0,0,0,0,0,0,
11/05/2020 08:42:18,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
11/05/2020 09:08:49,Cacoal,Hospital Regional de Cacoal - HRC,7,3,4,16,1,1,8,0,8,1,0,1,
11/05/2020 09:14:17,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
11/05/2020 10:11:01,Porto Velho,Hospital Santa Marcelina,20,16,4,0,0,0,0,0,0,0,0,0,
11/05/2020 10:33:23,Buritis,Hospital Regional de Buritis - HRB,5,1,4,0,0,0,0,0,0,0,0,0,
11/05/2020 10:56:26,Porto Velho,Hospital de Base Dr. Ary Pinheiro - HB,51,51,0,3,2,2,0,0,0,2,0,2,
11/05/2020 11:01:26,Porto Velho,Cemetron,67,50,17,17,13,0,0,0,0,0,0,0,
11/05/2020 11:02:21,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,5,18,1,17,7,2,5,
11/05/2020 11:02:55,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,23,0,0,0,0,0,0,0,
11/05/2020 11:08:53,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,2,0,0,0,0,0,0,0,0,
11/05/2020 11:36:01,Porto Velho,Samar,35,14,21,15,3,0,0,0,0,0,0,0,
11/05/2020 12:19:16,Porto Velho,Hospital - João Paulo II,3,3,0,0,0,0,0,0,0,0,0,0,
12/05/2020 09:05:54,São Francisco do Guaporé,Hosp. Reg. de São Fco do Guaporé,9,0,9,1,0,0,0,0,0,0,0,0,
12/05/2020 09:19:23,Porto Velho,Hospital - João Paulo II,8,8,0,0,0,0,0,0,0,0,0,0,
12/05/2020 09:33:48,Porto Velho,Assistência Médica Intensiva - AMI,0,0,0,34,22,0,0,0,0,0,0,0,
12/05/2020 09:43:54,Cacoal,Hospital Regional de Cacoal - HRC,7,3,4,16,0,1,8,0,8,1,0,1,
12/05/2020 10:08:23,Cacoal,Hospital Urgência e Emergência Cacoal - HEURO,0,0,0,4,0,0,0,0,0,0,0,0,
12/05/2020 10:27:29,Porto Velho,Hospital Regional de Extrema - HRE,4,0,4,0,0,0,0,0,0,0,0,0,
12/05/2020 10:34:00,Porto Velho,Hospital Infantial Cosme e Damião - HICD,0,0,0,0,0,5,18,1,17,7,2,5,
